team_naam,team_afkorting,team_landcode,team_status,renner_naam,renner_landcode,geboortedatum,geboorteplaats,gewicht,lengte
"TotalEnergies","TEN","FR","Pro Tour","Valentin  Ferron","FR","1998-02-08","Vienne","67","1.74"
"Bahrain - Victorious","TBV","BH","World Tour","Jan  Tratnik","SI","1990-02-23","Ljubljana","67","1.73"
"Movistar Team","MOV","ES","World Tour","Iñigo  Elosegui","ES","1998-03-06","Zierbena","64","1.88"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Davide De Pretto","IT","2002-04-19",,"58",
"Team BikeExchange - Jayco","BEX","AU","World Tour","Lawson  Craddock","US","1992-02-20","Houston","69","1.78"
"Astana Qazaqstan Team","AST","KZ","World Tour","Davide  Martinelli","IT","1993-05-31","Brescia","71","1.86"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Kaden  Groves","AU","1998-12-23","Gympie","76","1.76"
"BORA - hansgrohe","BOH","DE","World Tour","Cesare  Benedetti","PL","1987-08-03","Rovereto","63","1.7"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Barnabás  Peák","HU","1998-11-29","Budapest","74","1.83"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Jan  Hirt","CZ","1991-01-21","Třebíč","62","1.81"
"BORA - hansgrohe","BOH","DE","World Tour","Sam  Bennett","IE","1990-10-16","Wervik","73","1.78"
"Astana Qazaqstan Team","AST","KZ","World Tour","Samuele  Battistella","IT","1998-11-14","Castelfranco Veneto","67","1.8"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Kévin Van Melsen","BE","1987-04-01","Verviers","77","1.85"
"TotalEnergies","TEN","FR","Pro Tour","Víctor de la Parte","ES","1986-06-22","Vitoria-Gasteiz","64","1.81"
"Team DSM","DSM","NL","World Tour","Marco  Brenner","DE","2002-08-27","Augsburg","59","1.78"
"UAE Team Emirates","UAD","AE","World Tour","Marc  Hirschi","CH","1998-08-24","Bern","61","1.74"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Iker  Mintegui","ES","2002-11-15",,,
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Fernando  Barceló","ES","1996-01-06","Huesca","64","1.74"
"Astana Qazaqstan Team","AST","KZ","World Tour","Vincenzo  Nibali","IT","1984-11-14","Messina","65","1.81"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Dion  Smith","NZ","1993-03-03","Taupaki","67","1.79"
"Israel - Premier Tech","IPT","IL","World Tour","Guillaume  Boivin","CA","1989-05-25","Montreal","78","1.82"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Quentin  Jauregui","FR","1994-04-22","Cambrai","60","1.76"
"EF Education-EasyPost","EFE","US","World Tour","Ruben  Guerreiro","PT","1994-07-06","Montijo","65","1.78"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Michael  Mørkøv","DK","1985-04-30","Kokkedal","71","1.83"
"Burgos-BH","BBH","ES","Pro Tour","Manuel  Peñalver","ES","1998-12-10","Torrevieja","67","1.77"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Dylan  Groenewegen","NL","1993-06-21","Amsterdam","70","1.77"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Simone  Raccani","IT","2001-03-02",,,
"Lotto Soudal","LTS","BE","World Tour","Maxim Van Gils","BE","1999-11-25","Brasschaat","63","1.74"
"Jumbo-Visma","TJV","NL","World Tour","Mike  Teunissen","NL","1992-08-25","Ysselsteyn","73","1.84"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Txomin  Juaristi","ES","1995-07-20","Markina-Xemein","67.5","1.82"
"Jumbo-Visma","TJV","NL","World Tour","Thomas  Gloag","GB","2001-09-13","East Dulwich","60","1.81"
"INEOS Grenadiers","IGD","GB","World Tour","Carlos  Rodríguez","ES","2001-02-02","Almuñécar","67","1.83"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Nick  Schultz","AU","1994-09-13","Brisbane","68","1.8"
"Team DSM","DSM","NL","World Tour","Casper van Uden","NL","2001-07-22",,,"1.81"
"Bahrain - Victorious","TBV","BH","World Tour","Stephen  Williams","GB","1996-06-09","Aberystwyth","59","1.83"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Bert Van Lerberghe","BE","1992-09-29","Kortrijk","83","1.9"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Jan  Maas","NL","1996-02-19","Bergen op Zoom","70","1.89"
"BORA - hansgrohe","BOH","DE","World Tour","Shane  Archbold","NZ","1989-02-02","Timaru","79","1.82"
"Jumbo-Visma","TJV","NL","World Tour","Pascal  Eenkhoorn","NL","1997-02-08","Genemuiden","70","1.85"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Jon  Agirre","ES","1997-09-10","Zumaia","54","1.73"
"Cofidis","COF","FR","World Tour","Harrison  Wood","GB","2000-06-14",,"64","1.85"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Anthon  Charmig","DK","1998-03-25","Aarhus","66","1.82"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Marceli  Bogusławski","PL","1997-09-07","Opoczno ","77","1.83"
"UAE Team Emirates","UAD","AE","World Tour","Rui  Costa","PT","1986-10-05","Póvoa de Varzim","75","1.83"
"Trek - Segafredo","TFS","US","World Tour","Asbjørn  Hellemose","DK","1999-01-15","Galten","65","1.92"
"Trek - Segafredo","TFS","US","World Tour","Filippo  Baroncini","IT","2000-08-26","Massa Lombarda","74","1.88"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Martí  Márquez","ES","1996-02-09","Llinars del Vallès","63","1.84"
"TotalEnergies","TEN","FR","Pro Tour","Paul  Ourselin","FR","1994-04-13","Saint-Pierre-sur-Dives","70","1.85"
"INEOS Grenadiers","IGD","GB","World Tour","Michał  Kwiatkowski","PL","1990-06-02","Chełmża","68","1.76"
"AG2R Citroën Team","ACT","FR","World Tour","Paul  Lapeira","FR","2000-05-25","Fougères","64","1.76"
"INEOS Grenadiers","IGD","GB","World Tour","Daniel Felipe  Martínez","CO","1996-04-25","Soacha","63","1.72"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Mikel  Iturria","ES","1992-03-16","Urnieta","69","1.85"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Jens  Reynders","BE","1998-05-25","Tongeren","76","1.84"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Amaury  Capiot","BE","1993-06-25","Tongeren","69","1.86"
"EOLO-Kometa","EOK","IT","Pro Tour","Davide  Bais","IT","1998-04-02","Rovereto","66","1.83"
"Jumbo-Visma","TJV","NL","World Tour","Michel  Hessmann","DE","2001-04-06","Münster","78","1.91"
"Lotto Soudal","LTS","BE","World Tour","Filippo  Conca","IT","1998-09-22","Lecco ","80","1.91"
"EOLO-Kometa","EOK","IT","Pro Tour","Márton  Dina","HU","1996-04-11","Budapest","67","1.86"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Jesús David  Peña","CO","2000-05-08","Zipaquirá","56","1.7"
"Astana Qazaqstan Team","AST","KZ","World Tour","Gianni  Moscon","IT","1994-04-20","Trento","70","1.82"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Mikkel Frølich  Honoré","DK","1997-01-21","Fredericia","68","1.85"
"EF Education-EasyPost","EFE","US","World Tour","Hugh  Carthy","GB","1994-07-09","Preston","69","1.91"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Orluis  Aular","VE","1996-11-05","Nirgua","65","1.76"
"Movistar Team","MOV","ES","World Tour","Imanol  Erviti","ES","1983-11-15","Pamplona","82","1.9"
"Team DSM","DSM","NL","World Tour","Frederik  Rodenberg","DK","1998-01-22","Værløse","73","1.9"
"BORA - hansgrohe","BOH","DE","World Tour","Felix  Großschartner","AT","1993-12-23","Wels","64","1.84"
"INEOS Grenadiers","IGD","GB","World Tour","Kim  Heiduk","DE","2000-03-03","Herrenberg","70","1.84"
"Trek - Segafredo","TFS","US","World Tour","Kenny  Elissonde","FR","1991-07-22"," Longjumeau","52","1.69"
"Cofidis","COF","FR","World Tour","Jesús  Herrada","ES","1990-07-26","Mota del Cuervo","70","1.83"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Torjus  Sleen","NO","1997-03-30","Tønsberg","65","1.7"
"Astana Qazaqstan Team","AST","KZ","World Tour","Dmitriy  Gruzdev","KZ","1986-03-13","Astana","78","1.86"
"Israel - Premier Tech","IPT","IL","World Tour","Mads  Würtz Schmidt","DK","1994-03-31","Randers","70","1.76"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Rasmus  Tiller","NO","1996-07-28","Trondheim","84","1.87"
"AG2R Citroën Team","ACT","FR","World Tour","Oliver  Naesen","BE","1990-09-16","Oostende","74","1.85"
"Movistar Team","MOV","ES","World Tour","Jorge  Arcas","ES","1992-07-08","Sabiñánigo","68","1.87"
"Bahrain - Victorious","TBV","BH","World Tour","Mikel  Landa","ES","1989-12-13","Murgia","60","1.73"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Sam  Bewley","NZ","1987-07-22","Rotorua","81","1.91"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Michel  Ries","LU","1998-03-11","Luxembourg","67","1.84"
"EF Education-EasyPost","EFE","US","World Tour","Lachlan  Morton","AU","1992-01-02","Port Macquarie","62","1.8"
"Trek - Segafredo","TFS","US","World Tour","Alex  Kirsch","LU","1992-06-12","Luxembourg","78","1.94"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Yves  Lampaert","BE","1991-04-10","Izegem","75","1.8"
"Movistar Team","MOV","ES","World Tour","Iván Ramiro  Sosa","CO","1997-10-31","Pasca","58","1.68"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Julen  Amezqueta","ES","1993-08-12","Estella","63","1.74"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Mattia  Bais","IT","1996-10-19","Rovereto","66","1.75"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Tomas  Trainini","IT","2001-09-23",,,"1.7"
"Lotto Soudal","LTS","BE","World Tour","Steff  Cras","BE","1996-02-13","Geel","65","1.83"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Julien  Morice","FR","1991-07-20","Vannes","81","1.92"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Tom  Wirtgen","LU","1996-03-04","Dippach","77","1.9"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Sindre  Kulset","NO","1998-08-07","Oslo","68","1.83"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Joseba  López","ES","2000-03-05","Vitoria","66","1.82"
"Euskaltel - Euskadi","EUS","ES","Pro Tour","Mikel  Bizkarra","ES","1989-08-21","Mañaria","53","1.65"
"Team DSM","DSM","NL","World Tour","Sam  Welsford","AU","1996-01-19","Subiaco","79","1.8"
"Groupama - FDJ","GFC","FR","World Tour","Lars van den Berg","NL","1998-07-07","De Meern","72","1.85"
"INEOS Grenadiers","IGD","GB","World Tour","Jhonatan  Narváez","EC","1997-03-04","Playón de San Francisco","65","1.74"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Elmar  Reinders","NL","1992-03-14","Emmen","78","1.9"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Manuele  Tarozzi","IT","1998-06-20",,,
"INEOS Grenadiers","IGD","GB","World Tour","Magnus  Sheffield","US","2002-04-19","Pittsford","74","1.85"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Mathieu van der Poel","NL","1995-01-19","Kapellen","75","1.84"
"BORA - hansgrohe","BOH","DE","World Tour","Emanuel  Buchmann","DE","1992-11-18"," Ravensburg","59","1.8"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Omar El Gouzi","MA","1999-08-16","Peschiera del Garda","58","1.81"
"UAE Team Emirates","UAD","AE","World Tour","Juan  Ayuso","ES","2002-09-16","Barcelona","65","1.81"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Laurens  Huys","BE","1998-09-24",,"61","1.62"
"Movistar Team","MOV","ES","World Tour","Will  Barta","US","1996-01-04","Boise","61","1.8"
"AG2R Citroën Team","ACT","FR","World Tour","Anthony  Jullien","FR","1998-03-05","Givors","72","1.78"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Domenico  Pozzovivo","IT","1982-11-30","Policoro","53","1.65"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Jon  Barrenetxea","ES","2000-04-20","Gamiz-Fika","74","1.88"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Romain  Hardy","FR","1988-08-24","Flers","62","1.72"
"Groupama - FDJ","GFC","FR","World Tour","Matthieu  Ladagnous","FR","1984-12-12","Pau","73","1.82"
"BORA - hansgrohe","BOH","DE","World Tour","Martin  Laas","EE","1993-09-15","Tartu","74","1.76"
"Groupama - FDJ","GFC","FR","World Tour","Lewis  Askey","GB","2001-05-04","Cannock","75","1.87"
"AG2R Citroën Team","ACT","FR","World Tour","Lilian  Calmejane","FR","1992-12-06","Albi","69","1.84"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Alessandro  Bisolti","IT","1985-03-07","Gavardo","58","1.75"
"Burgos-BH","BBH","ES","Pro Tour","Adrià  Moreno","ES","1991-08-19","Olot","59","1.76"
"Movistar Team","MOV","ES","World Tour","Alex  Aranburu","ES","1995-09-19","Ezkio-Itsaso","63","1.78"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Savva  Novikov","RU","1999-07-27","Tula","65","1.77"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Søren  Wærenskjold","NO","2000-03-12",,,"1.91"
"Israel - Premier Tech","IPT","IL","World Tour","Alexander  Cataford","CA","1993-09-01","Ottawa","70","1.83"
"Quick-Step Alpha Vinyl Team","QST","BE","World Tour","Davide  Ballerini","IT","1994-09-21","Cantù","77","1.83"
"Bahrain - Victorious","TBV","BH","World Tour","Fran  Miholjević","HR","2002-08-02",,"75","1.89"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Clément  Russo","FR","1995-01-20","Lyon","73","1.87"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Andrii  Ponomar","UA","2002-09-05","Chernihiv","65","1.85"
"Trek - Segafredo","TFS","US","World Tour","Gianluca  Brambilla","IT","1987-08-22","Bellano","57","1.7"
"Team DSM","DSM","NL","World Tour","Mark  Donovan","GB","1999-04-03","Penrith","70","1.85"
"Groupama - FDJ","GFC","FR","World Tour","Tobias  Ludvigsson","SE","1991-02-22","Huskvarna","76","1.94"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Luca  Covili","IT","1997-02-10","Pavullo nel Frignano","58","1.8"
"Trek - Segafredo","TFS","US","World Tour","Otto  Vergaerde","BE","1994-07-15","Melle","74","1.81"
"INEOS Grenadiers","IGD","GB","World Tour","Geraint  Thomas","GB","1986-05-25","Cardiff","71","1.83"
"BORA - hansgrohe","BOH","DE","World Tour","Jordi  Meeus","BE","1998-07-01","Lommel","80","1.9"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Kamiel  Bonneu","BE","1999-08-01","Hamont-Achel","62","1.78"
"Drone Hopper -  Androni Giocattoli","DRA","IT","Pro Tour","Daniel  Muñoz","CO","1996-11-21","San Rafael","57","1.74"
"Groupama - FDJ","GFC","FR","World Tour","Thibaut  Pinot","FR","1990-05-29","Lure","63","1.8"
"TotalEnergies","TEN","FR","Pro Tour","Pierre  Latour","FR","1993-10-12","Romans-sur-Isère","66","1.81"
"Bahrain - Victorious","TBV","BH","World Tour","Johan  Price-Pejtersen","DK","1999-05-26","Frederiksberg","77","1.96"
"Astana Qazaqstan Team","AST","KZ","World Tour","Sebastián  Henao","CO","1993-08-05","Rionegro","57","1.71"
"Bahrain - Victorious","TBV","BH","World Tour","Hermann  Pernsteiner","AT","1990-08-07","Oberwart","55","1.68"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Damien  Howson","AU","1992-08-13","Adelaide","68","1.88"
"Groupama - FDJ","GFC","FR","World Tour","Attila  Valter","HU","1998-06-12","Csömör","65","1.85"
"Jumbo-Visma","TJV","NL","World Tour","Robert  Gesink","NL","1986-05-31","Varsseveld","70","1.9"
"AG2R Citroën Team","ACT","FR","World Tour","Geoffrey  Bouchard","FR","1992-04-01","Dijon","63","1.78"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Cyril  Gautier","FR","1987-09-26","Plouagat","65","1.69"
"INEOS Grenadiers","IGD","GB","World Tour","Salvatore  Puccio","IT","1989-08-31"," Menfi","68","1.82"
"Trek - Segafredo","TFS","US","World Tour","Edward  Theuns","BE","1991-04-30","Gent","72","1.83"
"Cofidis","COF","FR","World Tour","Hugo  Toumire","FR","2001-10-05","Rouen","69","1.8"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Julius  Johansen","DK","1999-09-13","Blovstrød","75","1.84"
"Team DSM","DSM","NL","World Tour","Casper  Pedersen","DK","1996-03-15","Copenhagen","74","1.86"
"BORA - hansgrohe","BOH","DE","World Tour","Wilco  Kelderman","NL","1991-03-25","Amersfoort","65","1.85"
"AG2R Citroën Team","ACT","FR","World Tour","Pierre  Gautherat","FR","2003-01-16","Colmar","70","1.77"
"Team DSM","DSM","NL","World Tour","Martijn  Tusveld","NL","1993-09-09","Utrecht","70","1.88"
"Cofidis","COF","FR","World Tour","Davide  Villella","IT","1991-06-27","Magenta","66","1.82"
"Movistar Team","MOV","ES","World Tour","Einer Augusto  Rubio","CO","1998-02-22","Chíquiza","56","1.64"
"Team DSM","DSM","NL","World Tour","Søren Kragh Andersen","DK","1994-08-10","Strib","73","1.78"
"AG2R Citroën Team","ACT","FR","World Tour","Nans  Peters","FR","1994-03-12","Grenoble","71","1.77"
"Jumbo-Visma","TJV","NL","World Tour","Timo  Roosen","NL","1993-01-11","Tilburg","78","1.93"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Josu  Etxeberria","ES","2000-09-09","Iturmendi","65","1.78"
"Astana Qazaqstan Team","AST","KZ","World Tour","Michele  Gazzoli","IT","1999-03-04","Ospitaletto","76","1.8"
"Movistar Team","MOV","ES","World Tour","Nelson  Oliveira","PT","1989-03-06","Anadia","67","1.8"
"Trek - Segafredo","TFS","US","World Tour","Mathias  Vacek","CZ","2002-06-12","Beroun","74","1.88"
"Uno-X Pro Cycling Team","UXT","NO","Pro Tour","Kristian  Kulset","NO","1995-10-01",,,"1.88"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Sinuhé  Fernandez","ES","2000-06-15","Brañes","56","1.81"
"Astana Qazaqstan Team","AST","KZ","World Tour","Yevgeniy  Gidich","KZ","1996-05-19","Kökşetaw","69","1.79"
"TotalEnergies","TEN","FR","Pro Tour","Peter  Sagan","SK","1990-01-26","Žilina","78","1.82"
"Israel - Premier Tech","IPT","IL","World Tour","Guy  Niv","IL","1994-03-08","Misgav","58","1.68"
"TotalEnergies","TEN","FR","Pro Tour","Alan  Jousseaume","FR","1998-08-03",,,"1.77"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Raúl  García Pierna","ES","2001-02-23","Tres Cantos","67","1.75"
"Intermarché - Wanty - Gobert Matériaux","IWG","BE","World Tour","Louis  Meintjes","ZA","1992-02-21","Pretoria","58","1.73"
"Movistar Team","MOV","ES","World Tour","José Joaquín  Rojas","ES","1985-06-08","Cieza","70","1.77"
"Burgos-BH","BBH","ES","Pro Tour","Ángel  Fuentes","ES","1996-11-05","Burgos","77","1.9"
"Astana Qazaqstan Team","AST","KZ","World Tour","Alexey  Lutsenko","KZ","1992-09-07","Petropavl","74","1.81"
"Bahrain - Victorious","TBV","BH","World Tour","Matej  Mohorič","SI","1994-10-19","Kranj","72","1.86"
"Trek - Segafredo","TFS","US","World Tour","Jon  Aberasturi","ES","1989-03-28","Vitoria-Gasteiz","69","1.73"
"Israel - Premier Tech","IPT","IL","World Tour","Tom Van Asbroeck","BE","1990-04-19","Aalst","72","1.82"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Sergio Roman  Martín","ES","1996-12-13","Galapagar","69","1.82"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Kelland  O'Brien","AU","1998-05-22","Melbourne","79","1.95"
"Cofidis","COF","FR","World Tour","Sebastian  Kolze Changizi","DK","2000-12-29",,,"1.81"
"Groupama - FDJ","GFC","FR","World Tour","Arnaud  Démare","FR","1991-08-26","Beauvais","76","1.81"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","David van der Poel","NL","1992-06-15","Wilrijk","75","1.79"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Jenno  Berckmoes","BE","2001-02-04","Ghent","61","1.77"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Roger  Adrià","ES","1998-04-18","Barcelona","64","1.79"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Anders  Foldager","DK","2001-07-27","Skive","66","1.81"
"UAE Team Emirates","UAD","AE","World Tour","Pascal  Ackermann","DE","1994-01-17","Kandel","78","1.82"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Jokin  Murguialday","ES","2000-03-19","Salvatierra","57","1.73"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Kévin  Ledanois","FR","1993-07-13","Noisy-le-Sec","67","1.81"
"Cofidis","COF","FR","World Tour","Ion  Izagirre","ES","1989-02-04","Ormaiztegi","60","1.73"
"INEOS Grenadiers","IGD","GB","World Tour","Laurens De Plus","BE","1995-09-04"," Aalst","67","1.9"
"Movistar Team","MOV","ES","World Tour","Mathias  Norsgaard","DK","1997-05-05","Silkeborg","81","2.02"
"INEOS Grenadiers","IGD","GB","World Tour","Richie  Porte","AU","1985-01-30","Launceston","62","1.72"
"Astana Qazaqstan Team","AST","KZ","World Tour","Gleb  Brussenskiy","KZ","2000-04-18","Kokshetau","64","1.78"
"UAE Team Emirates","UAD","AE","World Tour","Oliver  Knight","GB","2001-01-25",,,
"EOLO-Kometa","EOK","IT","Pro Tour","Alessandro  Fancellu","IT","2000-04-24","Como","62","1.72"
"Cofidis","COF","FR","World Tour","Max  Walscheid","DE","1993-06-13","Neuwied","90","1.98"
"Groupama - FDJ","GFC","FR","World Tour","Stefan  Küng","CH","1993-11-16","Wil","83","1.92"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Eduard  Prades","ES","1987-08-09","Alcanar","63","1.78"
"Cofidis","COF","FR","World Tour","Benjamin  Thomas","FR","1995-09-12","Lavaur","68","1.79"
"AG2R Citroën Team","ACT","FR","World Tour","Gijs Van Hoecke","BE","1991-11-12","Gent","78","1.86"
"EF Education-EasyPost","EFE","US","World Tour","Merhawi  Kudus","ER","1994-01-23","Asmara","58","1.73"
"Lotto Soudal","LTS","BE","World Tour","Jasper De Buyst","BE","1993-11-24"," Asse","72","1.79"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Rune  Herregodts","BE","1998-07-27","Aalst","70","1.81"
"Sport Vlaanderen - Baloise","SVB","BE","Pro Tour","Kenneth Van Rooy","BE","1993-10-08","Turnhout","70","1.79"
"Jumbo-Visma","TJV","NL","World Tour","Nathan Van Hooydonck","BE","1995-10-12","Gooreind","78","1.92"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Daniel Alejandro  Mendez","CO","2000-06-02","Bogotá","57","1.71"
"Team DSM","DSM","NL","World Tour","Joris  Nieuwenhuis","NL","1996-02-11","Doetinchem","71","1.85"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Iván  Cobo","ES","2000-01-02","El Astillero","63","1.86"
"EF Education-EasyPost","EFE","US","World Tour","Rigoberto  Urán","CO","1987-01-26","Urrao","63","1.73"
"BORA - hansgrohe","BOH","DE","World Tour","Cian  Uijtdebroeks","BE","2003-02-28",,"68","1.85"
"Team DSM","DSM","NL","World Tour","Jonas Iversby  Hvideberg","NO","1999-02-09",,,"1.85"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Simon  Guglielmi","FR","1997-07-01","Chambéry","66","1.8"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Gianni  Vermeersch","BE","1992-11-19","Roeselare","65","1.73"
"Cofidis","COF","FR","World Tour","Simon  Geschke","DE","1986-03-13","Berlin","64","1.71"
"Jumbo-Visma","TJV","NL","World Tour","Tiesj  Benoot","BE","1994-03-11","Ghent","72","1.9"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Nairo  Quintana","CO","1990-02-04","Cómbita","59","1.67"
"Trek - Segafredo","TFS","US","World Tour","Simon  Pellaud","CH","1992-11-06","Martigny","70","1.8"
"Cofidis","COF","FR","World Tour","Pierre-Luc  Périchon","FR","1987-01-04","Bourg-en-Bresse","69","1.82"
"AG2R Citroën Team","ACT","FR","World Tour","Jaakko  Hänninen","FI","1997-04-16","Ruokolahti","60","1.77"
"EF Education-EasyPost","EFE","US","World Tour","Łukasz  Wiśniowski","PL","1991-12-07","Ciechanów","78","1.91"
"Trek - Segafredo","TFS","US","World Tour","Tony  Gallopin","FR","1988-05-24"," Dourdan","69","1.81"
"Bardiani-CSF-Faizanè","BCF","IT","Pro Tour","Giovanni  Visconti","IT","1983-01-13","Turin","63","1.75"
"INEOS Grenadiers","IGD","GB","World Tour","Elia  Viviani","IT","1989-02-07"," Isola della Scala","67","1.78"
"Cofidis","COF","FR","World Tour","Davide  Cimolai","IT","1989-08-13","Pordenone","70","1.81"
"B&B Hotels - KTM","BBK","FR","Pro Tour","Cyril  Lemoine","FR","1983-03-03","Tours","73","1.82"
"Burgos-BH","BBH","ES","Pro Tour","Juan Antonio  López-Cózar","ES","1994-08-20","Loja","70","1.75"
"Team BikeExchange - Jayco","BEX","AU","World Tour","Christopher  Juul-Jensen","DK","1989-07-06","Kilmacanogue","73","1.83"
"Jumbo-Visma","TJV","NL","World Tour","Rohan  Dennis","AU","1990-05-28","Adelaide","72","1.82"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Dayer  Quintana","CO","1992-08-10","Cómbita","58","1.67"
"EOLO-Kometa","EOK","IT","Pro Tour","Alejandro  Ropero","ES","1998-04-17","Granada","61","1.71"
"Jumbo-Visma","TJV","NL","World Tour","Tom  Dumoulin","NL","1990-11-11","Maastricht","69","1.85"
"AG2R Citroën Team","ACT","FR","World Tour","Antoine  Raugel","FR","1999-02-14","Strasbourg","70","1.85"
"Equipo Kern Pharma","EKP","ES","Pro Tour","Carlos  García Pierna","ES","1999-07-23","Tres Cantos","54","1.71"
"EOLO-Kometa","EOK","IT","Pro Tour","Andrea  Pietrobon","IT","1999-03-11","Belluno","72","1.9"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Tobias  Bayer","AT","1999-11-17","Ried im Innkreis","70","1.87"
"Alpecin-Deceuninck","ADC","BE","Pro Tour","Jakub  Mareczko","IT","1994-04-30","Jarosław","67","1.69"
"Team Arkéa Samsic","ARK","FR","Pro Tour","Toon  Clynhens","BE","2001-02-09","Hever","61","1.86"
"Israel - Premier Tech","IPT","IL","World Tour","Alessandro De Marchi","IT","1986-05-19","San Daniele del Friuli","65","1.81"
"Team DSM","DSM","NL","World Tour","Cees  Bol","NL","1995-07-27","Zaandam","83","1.94"
"Caja Rural - Seguros RGA","CJR","ES","Pro Tour","Andoni  López de Abetxuko","ES","1999-08-03","Salvatierra","74","1.85"
"Cofidis","COF","FR","World Tour","Bryan  Coquard","FR","1992-04-25","Saint-Nazaire","59","1.71"
"Cofidis","COF","FR","World Tour","Alexandre  Delettre","FR","1997-10-25","Gonesse","62","1.7"
"Bingoal Pauwels Sauces WB","BWB","BE","Pro Tour","Kenny  Molly","BE","1996-12-24","Izegem","61","1.71"
"Israel - Premier Tech","IPT","IL","World Tour","Omer  Goldstein","IL","1996-08-13","Misgav","61","1.74"
